"id","gl_id","label","datering_start","datering_slut","periode","materiale","keywords","beskrivelse","getty","getty_match","getty_label","fish","sortering"
"dime.find.coin.viking.nordic","dime.find.subtype.coin.viking.nordic","Dansk/nordisk vikingetidsmønt","750","1066","dime.period.viking","dime.material.silver","mønt;vikingetid;svensk;norsk",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.viking.penny","dime.find.subtype.coin.viking.penny","Engelsk penny (vikingetid)","750","1066","dime.period.viking","dime.material.silver","mønt;engelsk;england",,"http://vocab.getty.edu/aat/300195397","exact match","PENNY COINS",,NULL
"dime.find.coin.viking.phennig","dime.find.subtype.coin.viking.phennig","Tysk pfennig ","750","1066","dime.period.undated","dime.material.unknown","mønt;vikingetid",,"http://vocab.getty.edu/aat/300196014","exact match","PFENNIGS",,NULL
"dime.find.coin.viking.sceatta","dime.find.subtype.coin.viking.sceat","Sceatta","700","900","dime.period.viking.early","dime.material.silver","mønt;vikingetid",,"http://vocab.getty.edu/aat/300191644","exact match","SCEATTAS",,NULL
"dime.find.dress_accessory","dime.find.subtype.fibula.viking.other;dime.find.subtype.accessory.unknown;dime.find.subtype.accessory.other;dime.find.subtype.fibula.viking.unknown;dime.find.subtype.fibula.viking;dime.find.subtype.fibula.enamel.other;dime.find.subtype.fibula.enamel;dime.find.subtype.fibula.enamel.unknown;dime.find.subtype.fibula.circular.other;dime.find.subtype.fibula.circular.unknown;dime.find.class.fibula; dime.find.subtype.accessory.other;dime.find.subtype.fibula.other;dime.find.subtype.fibula.unknown","Dragtudstyr · Fibel","-2000","2020","dime.period.undated","dime.material.unknown","fibula",,"http://vocab.getty.edu/aat/300045995","close match","BROOCHES",,"1"
"dime.find.dress_accessory.bell","ny","Pynteklokke",,,"dime.period.historic","dime.material.unknown","bjælde",,"http://vocab.getty.edu/aat/300041872","close match","bells (idiophones)",,NULL
"dime.find.dress_accessory.belt","ny","Bælte/bæltedel (ikke spænde)",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300210002","close match","belts (costume accessories)",,NULL
"dime.find.dress_accessory.belt.bowl","ny","Hængekar","-1100","-501","dime.period.bronze.late","dime.material.copperalloy","bronzealder",,"http://vocab.getty.edu/aat/300411649","close match","belt ornaments",,NULL
"dime.find.dress_accessory.belt.can","ny","Bæltedåse","-1700","-1100","dime.period.bronze.late","dime.material.copperalloy","bronzealder",,"http://vocab.getty.edu/aat/300411649","close match","belt ornaments",,NULL
"dime.find.dress_accessory.belt.cast","ny","Svært støbt bronzebælte",,,"dime.period.iron.preroman","dime.material.copperalloy","førromersk;jernalder",,"http://vocab.getty.edu/aat/300210002","close match","belts (costume accessories)",,NULL
"dime.find.dress_accessory.belt.plate","ny","Bælteplade","-1700","-1100","dime.period.bronze.early","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300045996","close match","BROOCHES",,NULL
"dime.find.dress_accessory.bow_fibula","dime.find.subtype.fibula.equalarm.unknown;dime.find.subtype.fibula.equalarm;dime.find.subtype.fibula.equalarmdime.find.subtype.fibula.equalarm.other;dime.find.subtype.fibula.bow;dime.find.subtype.fibula.bow.unknown;dime.find.subtype.fibula.bow.other","Bøjlefibel","-500","1066","dime.period.prehistoric","dime.material.copperalloy","fibula;bow brooch",,"http://vocab.getty.edu/aat/300045997","close match","BROOCHES",,NULL
"dime.find.dress_accessory.bow_fibula.ball","dime.find.subtype.fibula.bow.ball","Kuglefibel","-100","1","dime.period.iron.preroman","dime.material.unknown","fibula;førromersk;jernalder",,"http://vocab.getty.edu/aat/300045998","close match","BROOCHES",,NULL
"dime.find.dress_accessory.bow_fibula.bilateral","dime.find.subtype.fibula.bow.bilateral","2-leddet fibel m. bøjlekam (Almgr. II-IV)","1","174","dime.period.iron.roman","dime.material.copperalloy","fibula;ældre;romersk;jernalder;to",,"http://vocab.getty.edu/aat/300045999","close match","BROOCHES",,NULL
"dime.find.dress_accessory.bow_fibula.bilateral.trumpet","ny","Trompetfibel","1","175","dime.period.iron.roman","dime.material.copperalloy","fibula",,"http://vocab.getty.edu/aat/300046000","close match","BROOCHES",,NULL
